Size,Bedrooms,Age,Price
2104,3,15,399900
1600,3,10,329900
2400,3,30,369000
1416,2,20,232000
3000,4,8,539900
1985,4,15,299900
1534,3,12,314900
1427,3,15,198999
1380,3,14,212000
1494,3,10,242500
1940,4,5,239999
2000,3,7,347000
1890,3,8,329999
4478,5,20,699900
1268,3,15,259900
2300,4,10,449900
1320,2,20,299900
1236,3,7,199900
2609,4,10,499998
3031,4,8,599000
1767,3,10,252900
1888,2,20,255000
1604,3,5,242900
1962,4,7,259900
3890,3,15,573900
1100,3,10,249900
1458,3,20,464500
2526,3,15,469000
2200,4,5,475000
2637,3,7,299900
1839,2,7,349900
1000,1,20,169900
2040,4,10,314900
3137,3,15,579900
1811,4,7,285900
1437,3,10,249900
1239,3,15,229900
2132,4,7,345000
4215,4,15,549000
2162,4,10,287000
